area,corr,year
Kanakapura Road,"('77.50551317315346', '13.073991549999999')",2017
Bannerghatta Road,"('77.50543555515625', '13.073948399999999')",2017
Hebbal,"('77.50530680971221', '13.0739427')",2017
Shivajinagar,"('74.1424757', '14.8143303')","2017, 2016"
Begur,"('74.1424757', '14.8143303')",2017
Vijayanagar,"('74.1424757', '14.8143303')",2017
Chamrajpet,"('74.1424757', '14.8143303')",2017
Anekal,"('74.1424757', '14.8143303')",2017
Doddaballapur,"('74.1424757', '14.8143303')",2017
Chikkaballapur,"('74.1424757', '14.8143303')",2017
Ramanagaram,"('74.1424757', '14.8143303')",2017
Kanakapura,"('74.1424757', '14.8143303')",2017
Magadi,"('74.1424757', '14.8143303')",2017
Tumkur,"('77.5721787', '12.9974177')",2017
Chitradurga,"('50.58167134224853', '26.2291599')",2017
Davangere,"('74.1424757', '14.8143303')",2017
Mangalore,"('74.1424757', '14.8143303')",2017
Karwar,"('50.58167134224853', '26.2291599')",2017
Hubli,"('74.1424757', '14.8143303')",2017
Bijapur,"('74.1424757', '14.8143303')",2017
Gadag,"('76.2533041', '13.3185746')",2017
Haveri,"('74.1424757', '14.8143303')",2017
Bellary,"('74.1424757', '14.8143303')",2017
Bidar,"('74.1424757', '14.8143303')",2017
Koppal,"('74.1424757', '14.8143303')",2017
Yadgir,"('74.1424757', '14.8143303')",2017
Vijayapura,"('76.6927032', '12.3120415')",2017
Gulbarga,"('74.1424757', '14.8143303')",2017
Kalaburagi,"('74.1424757', '14.8143303')",2017
Sai Gardens,"('74.1424757', '14.8143303')",2017
Annamma Temple,"('74.1424757', '14.8143303')",2017
Koramangala 4th Block,"('74.1424757', '14.8143303')",2017
Ballari Road,"('74.1424757', '14.8143303')",2017
HSR layout,"('74.1424757', '14.8143303')",2017
Bannerghatta road,"('74.1424757', '14.8143303')",2017
Kadubeesanahalli,"('74.1424757', '14.8143303')",2017
J.C. Road,"('74.1424757', '14.8143303')",2017
Sadanandanagar main road,"('76.7440868', '16.8943197')",2017
Devarabisanahalli,"('77.5642078', '13.1729567')",2017
Doddanakundi,"('77.68547652852854', '12.90503865')",2017
Mahadevpura,"('77.568384', '12.9590078')",2017
Lakshman Rao Nagar,"('77.68549415517268', '12.90479425')",2016
Silk Board Junction,"('76.2514843', '13.3221003')",2016
Ashwath Narayana Layout,"('77.68549881303089', '12.90461865')",2016
Sharadha Layout,"('77.68550687637722', '12.904504')",2016
PESIT South Campus,"('76.2517525', '13.3221943')",2014
Byraveshwara Layout,"('76.2512376', '13.3223978')",2014
Chikkana Garden,"('76.2507548', '13.3221577')",2014
Papanna Layout,"('77.68556545993825', '12.9040619')",2014
